step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time,collisions_human
79,0,0.001,7.46571,2000,5.15177,4.71502,3.43473,5.40419,634.52,622.28,2284.27,2240.21,2.96563,2345.62,6.88435,25.1577,778.75,782.5,0.303726,607.452,0.00118843,2.37685,6.6134,13226.8,214.325,-0.262602,-2.39814e-11,0.158627,7.13762,,2.43906
80,0,0.001,7.48097,2000,5.13599,4.70243,3.42828,5.38654,633.989,621.702,2282.36,2238.13,2.90625,2325.32,7.20942,25.5636,778.75,782.5,0.303585,607.17,0.00112597,2.25194,6.63747,13274.9,214.178,-0.241876,6.6377e-14,0.156688,5.52038,,2.38281
81,0,0.001,7.39797,2000,5.18944,4.74361,3.47743,5.44756,635.186,623.323,2286.67,2243.96,2.86563,2370.34,6.8063,24.9077,778.75,782.5,0.304498,608.995,0.00137182,2.74364,6.56026,13120.5,214.536,-0.272235,4.26764e-12,0.15317,5.19162,,2.36094
82,0,0.001,7.61555,2000,5.18971,4.7295,3.50646,5.45737,635.306,623.916,2287.1,2246.1,2.46875,2390.69,6.84143,24.8601,778.75,782.5,0.305786,611.572,0.00169506,3.39012,6.55386,13107.7,214.602,-0.309009,2.24502e-11,0.15709,5.65239,,2.08438
83,0,0.001,7.44189,2000,5.16335,4.69857,3.53716,5.43427,634.606,622.983,2284.58,2242.74,2.45,2358.33,7.17612,25.1971,778.75,782.5,0.305366,610.733,0.0015042,3.00839,6.56689,13133.8,214.312,-0.296099,-3.21873e-11,0.159474,9.2388,,2.12188
84,0,0.001,7.40365,2000,5.2554,4.79479,3.54437,5.52276,635.497,623.547,2287.79,2244.77,3.2125,2393.1,6.72468,24.5416,778.75,782.5,0.303742,607.484,0.00109472,2.18945,6.47256,12945.1,214.62,-0.253051,-1.14391e-12,0.148297,5.42185,,2.65937
85,0,0.001,7.35812,2000,5.23978,4.7762,3.56334,5.50915,635.086,623.353,2286.31,2244.07,3.05625,2405.94,6.97527,24.7894,778.75,782.5,0.304036,608.072,0.00115461,2.30922,6.47858,12957.2,214.478,-0.266183,-1.50821e-11,0.148883,5.09535,,2.56562
86,0,0.001,7.40615,2000,5.20643,4.74484,3.51432,5.4749,635.192,623.511,2286.69,2244.64,2.89062,2388.96,6.86099,24.7997,778.75,782.5,0.304529,609.058,0.00125837,2.51674,6.52364,13047.3,214.558,-0.266089,-7.6555e-12,0.15481,6.02179,,2.4625
87,0,0.001,7.42272,2000,5.18206,4.71436,3.52787,5.45482,634.77,623.697,2285.17,2245.31,2.1875,2394.89,7.11099,25.0506,778.75,782.5,0.30638,612.759,0.00169904,3.39807,6.5393,13078.6,214.353,-0.304516,1.95734e-12,0.157433,7.40906,,1.92969
88,0,0.001,7.68256,2000,5.18964,4.72404,3.52835,5.46094,635.378,624.227,2287.36,2247.22,2.3125,2383.19,6.77881,24.7437,778.75,782.5,0.306332,612.664,0.0016871,3.3742,6.5428,13085.6,214.613,-0.306065,8.23172e-12,0.157705,7.66409,,1.98906
