step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
72,0,0.001,7.39797,2000,5.09789,4.83194,3.52222,5.39689,589.43,578.656,2121.95,2083.16,2.03125,2367.02,22.9215,40.3453,765.625,765.625,0.28425,568.5,0.00905622,18.1124,9.13498,18270,299.207,-1.03815,-5.18127e-13,0.326543,1.96638,24683.4
73,0,0.001,7.34858,2000,5.23655,4.96719,3.48245,5.53936,597.809,586.035,2152.11,2109.73,2.78125,2337.1,18.8914,36.2641,765.625,765.625,0.286064,572.129,0.00957306,19.1461,9.09434,18188.7,303.48,-1.11075,-1.13197e-12,0.315647,1.9837,25014.5
74,0,0.001,7.49025,2000,5.15287,4.89553,3.32129,5.44194,589.934,576.668,2123.76,2076,3.49219,2288.79,21.5737,39.4978,765.625,765.625,0.279604,559.207,0.00762248,15.245,9.34866,18697.3,299.562,-0.867881,8.68132e-12,0.307629,2.09588,25345.5
75,0,0.001,7.37783,2000,5.28518,5.01382,3.42438,5.59041,596.078,584.051,2145.88,2102.58,3.22656,2377.6,19.1835,36.5174,765.625,765.625,0.283959,567.918,0.00879132,17.5826,9.06973,18139.5,302.613,-1.02729,-2.57715e-11,0.309814,1.98766,25676.4
76,0,0.001,7.40271,2000,5.30704,5.0317,3.43213,5.61674,597.516,585.945,2151.06,2109.4,3.08594,2387.9,18.7148,35.9253,765.625,765.625,0.285258,570.516,0.00906609,18.1322,9.0124,18024.8,303.355,-1.05281,-2.30164e-11,0.312493,1.95735,26004.6
77,0,0.001,7.43852,2000,5.29279,5.02228,3.37883,5.59703,592.371,579.684,2132.54,2086.86,3.67969,2380.41,20.3632,37.7191,765.625,765.625,0.280643,561.285,0.00764407,15.2881,9.07163,18143.2,300.715,-0.883524,8.80803e-12,0.30032,1.99599,26333.3
78,0,0.001,7.45496,2000,5.30277,5.03034,3.411,5.60921,596.156,583.973,2146.16,2102.3,3.46094,2378.09,19.1722,36.4555,765.625,765.625,0.283334,566.668,0.00834528,16.6906,9.04322,18086.4,302.566,-0.98466,8.91673e-12,0.303315,2.01876,26667.5
79,0,0.001,7.38836,2000,5.26461,4.99029,3.51083,5.57324,597.941,586.977,2152.59,2113.12,2.55469,2401.78,18.7404,35.9273,765.625,765.625,0.287102,574.203,0.00927385,18.5477,9.00887,18017.7,303.531,-1.08578,3.63927e-12,0.30645,1.92876,26991.7
80,0,0.001,7.45581,2000,5.2788,5.00523,3.49938,5.5864,597.816,586.199,2152.14,2110.32,2.75,2363.22,18.9561,36.1585,765.625,765.625,0.286225,572.449,0.00892209,17.8442,9.01206,18024.1,303.465,-1.04312,-8.39892e-12,0.303354,2.03111,27324.9
81,0,0.001,7.42367,2000,5.19693,4.92113,3.57677,5.50727,589.793,579.125,2123.25,2084.85,2.10938,2353.42,23.1908,40.1656,765.625,765.625,0.284289,568.578,0.00811289,16.2258,8.91431,17828.6,299.387,-0.952647,1.90679e-11,0.310443,2.02036,27650.5
